group,n,mae,rmse
"('Engineering', 'Senior Researcher', 'Research Analyst', 'PG')",1,246043.93,246043.93
"('Engineering', 'Senior Researcher', 'Research Analyst', 'Under Grad')",2,27884.25,27899.45
"('Engineering', 'Senior Researcher', 'Research Scientist', 'Doctorate')",2,476165.27,647954.18
"('Engineering', 'Senior Researcher', 'Research Scientist', 'Grad')",1,27562.0,27562.0
"('Engineering', 'Senior Researcher', 'Research Scientist', 'Under Grad')",5,343549.26,444641.73
"('Engineering', 'Senior Researcher', 'Sr.Manager', 'Doctorate')",5,565986.19,887379.22
"('Engineering', 'Senior Researcher', 'Sr.Manager', 'Grad')",2,17401.9,17537.53
"('Engineering', 'Senior Researcher', 'Sr.Manager', 'Under Grad')",1,206702.4,206702.4
"('Engineering', 'Team Lead', 'Assistant Manager', 'Doctorate')",5,457005.87,633789.83
"('Engineering', 'Team Lead', 'Assistant Manager', 'Grad')",2,552824.13,701559.08
"('Engineering', 'Team Lead', 'Assistant Manager', 'PG')",3,717567.53,759576.83
"('Engineering', 'Team Lead', 'Assistant Manager', 'Under Grad')",6,111664.65,214089.96
"('Engineering', 'Team Lead', 'CA', 'Grad')",2,1208602.5,1210540.01
"('Engineering', 'Team Lead', 'CA', 'PG')",1,428916.0,428916.0
"('Engineering', 'Team Lead', 'Consultant', 'Grad')",1,267242.71,267242.71
"('Engineering', 'Team Lead', 'Consultant', 'PG')",2,444289.68,619209.51
"('Engineering', 'Team Lead', 'Consultant', 'Under Grad')",2,6453.5,8302.88
"('Engineering', 'Team Lead', 'Data Analyst', 'Doctorate')",4,146716.39,228706.38
"('Engineering', 'Team Lead', 'Data Analyst', 'Grad')",2,313707.59,346017.36
"('Engineering', 'Team Lead', 'Data Analyst', 'PG')",1,1126042.93,1126042.93
"('Engineering', 'Team Lead', 'Director', 'Doctorate')",2,693218.18,974540.27
"('Engineering', 'Team Lead', 'Director', 'PG')",1,787950.27,787950.27
"('Engineering', 'Team Lead', 'HR', 'Doctorate')",4,951896.12,1261081.38
"('Engineering', 'Team Lead', 'HR', 'Grad')",5,41891.06,61379.16
"('Engineering', 'Team Lead', 'HR', 'PG')",1,573288.0,573288.0
"('Engineering', 'Team Lead', 'HR', 'Under Grad')",2,103895.96,106823.2
"('Engineering', 'Team Lead', 'Manager', 'Doctorate')",2,536252.06,742049.91
"('Engineering', 'Team Lead', 'Manager', 'Grad')",3,602477.05,741841.2
"('Engineering', 'Team Lead', 'Manager', 'PG')",4,114537.97,193535.96
"('Engineering', 'Team Lead', 'Manager', 'Under Grad')",3,639209.75,781272.69
"('Engineering', 'Team Lead', 'Marketing Manager', 'Doctorate')",1,429944.2,429944.2
"('Engineering', 'Team Lead', 'Marketing Manager', 'Grad')",5,425104.74,662409.72
"('Engineering', 'Team Lead', 'Marketing Manager', 'PG')",5,393638.8,655689.66
"('Engineering', 'Team Lead', 'Marketing Manager', 'Under Grad')",1,1231441.2,1231441.2
"('Engineering', 'Team Lead', 'Medical Officer', 'Doctorate')",1,51909.5,51909.5
"('Engineering', 'Team Lead', 'Medical Officer', 'Grad')",2,514720.53,725585.19
"('Engineering', 'Team Lead', 'Medical Officer', 'PG')",1,626253.07,626253.07
"('Engineering', 'Team Lead', 'Medical Officer', 'Under Grad')",1,562526.63,562526.63
"('Engineering', 'Team Lead', 'Network Engineer', 'Doctorate')",1,1026233.21,1026233.21
"('Engineering', 'Team Lead', 'Network Engineer', 'Grad')",3,111294.31,169765.04
"('Engineering', 'Team Lead', 'Network Engineer', 'PG')",2,1409243.71,1719253.72
"('Engineering', 'Team Lead', 'Network Engineer', 'Under Grad')",2,464472.9,652847.77
"('Engineering', 'Team Lead', 'Others', 'Doctorate')",1,194440.16,194440.16
"('Engineering', 'Team Lead', 'Others', 'Grad')",1,957602.22,957602.22
"('Engineering', 'Team Lead', 'Others', 'PG')",3,878332.94,1347542.46
"('Engineering', 'Team Lead', 'Others', 'Under Grad')",1,14335.5,14335.5
"('Engineering', 'Team Lead', 'Product Manager', 'Doctorate')",1,1823161.32,1823161.32
"('Engineering', 'Team Lead', 'Product Manager', 'Grad')",3,535392.89,577455.48
"('Engineering', 'Team Lead', 'Product Manager', 'PG')",2,741379.25,745923.59
"('Engineering', 'Team Lead', 'Product Manager', 'Under Grad')",3,486712.45,694939.32
"('Engineering', 'Team Lead', 'Research Analyst', 'Grad')",2,120930.99,165800.7
"('Engineering', 'Team Lead', 'Research Analyst', 'PG')",1,1009439.48,1009439.48
"('Engineering', 'Team Lead', 'Research Analyst', 'Under Grad')",2,52934.22,70743.32
"('Engineering', 'Team Lead', 'Research Scientist', 'Doctorate')",1,762440.53,762440.53
"('Engineering', 'Team Lead', 'Research Scientist', 'Grad')",1,7469.2,7469.2
"('Engineering', 'Team Lead', 'Research Scientist', 'PG')",2,844658.78,861172.34
"('Engineering', 'Team Lead', 'Scientist', 'Grad')",1,73812.31,73812.31
"('Engineering', 'Team Lead', 'Software Developer', 'Doctorate')",1,55851.0,55851.0
"('Engineering', 'Team Lead', 'Software Developer', 'PG')",1,1042441.13,1042441.13
"('Engineering', 'Team Lead', 'Software Developer', 'Under Grad')",2,464048.01,574476.23
"('Engineering', 'Team Lead', 'Sr.Manager', 'Doctorate')",1,4645.2,4645.2
"('Engineering', 'Team Lead', 'Sr.Manager', 'Grad')",2,133192.26,142730.47
"('Engineering', 'Team Lead', 'Sr.Manager', 'PG')",1,121955.13,121955.13
"('Engineering', 'Team Lead', 'Sr.Manager', 'Under Grad')",1,9696.8,9696.8
"('Engineering', 'Team Lead', 'Web Designer', 'Doctorate')",1,3877.2,3877.2
"('Engineering', 'Team Lead', 'Web Designer', 'Grad')",1,11719.5,11719.5
"('Engineering', 'Team Lead', 'Web Designer', 'PG')",1,484952.32,484952.32
"('Engineering', 'Team Lead', 'Web Designer', 'Under Grad')",2,180166.26,249923.2
"('HR', 'Analyst', 'Assistant Manager', 'Doctorate')",3,1075700.24,1329551.47
"('HR', 'Analyst', 'Assistant Manager', 'Grad')",2,115885.96,133393.66
"('HR', 'Analyst', 'Assistant Manager', 'PG')",2,904279.84,918545.42
"('HR', 'Analyst', 'Assistant Manager', 'Under Grad')",2,162267.92,218207.7
"('HR', 'Analyst', 'CA', 'Doctorate')",2,707286.29,853529.5
"('HR', 'Analyst', 'CA', 'Grad')",2,47196.29,61852.68
"('HR', 'Analyst', 'CA', 'PG')",4,384550.79,405026.49
"('HR', 'Analyst', 'Consultant', 'Doctorate')",6,484604.59,683262.11
"('HR', 'Analyst', 'Consultant', 'PG')",3,121764.69,178669.24
"('HR', 'Analyst', 'Consultant', 'Under Grad')",2,534919.71,604731.62
"('HR', 'Analyst', 'Data Analyst', 'Doctorate')",2,934460.94,1288913.51
"('HR', 'Analyst', 'Data Analyst', 'Grad')",7,310465.88,509985.93
"('HR', 'Analyst', 'Data Analyst', 'PG')",2,430779.96,592665.93
"('HR', 'Analyst', 'Data Analyst', 'Under Grad')",1,18667.2,18667.2
"('HR', 'Analyst', 'Director', 'Doctorate')",1,760725.35,760725.35
"('HR', 'Analyst', 'Director', 'PG')",2,109442.08,134338.96
"('HR', 'Analyst', 'HR', 'Doctorate')",2,559675.2,778533.98
"('HR', 'Analyst', 'HR', 'Grad')",5,354605.89,529767.44
"('HR', 'Analyst', 'HR', 'PG')",2,198266.46,207044.48
"('HR', 'Analyst', 'HR', 'Under Grad')",5,9884.08,14086.72
"('HR', 'Analyst', 'Manager', 'Doctorate')",2,469883.34,651433.63
"('HR', 'Analyst', 'Manager', 'Grad')",4,17079.92,27957.82
"('HR', 'Analyst', 'Manager', 'PG')",1,138153.67,138153.67
"('HR', 'Analyst', 'Manager', 'Under Grad')",3,322452.36,531876.1
"('HR', 'Analyst', 'Marketing Manager', 'Doctorate')",2,168438.29,169428.89
"('HR', 'Analyst', 'Marketing Manager', 'Grad')",1,4633.8,4633.8
"('HR', 'Analyst', 'Marketing Manager', 'PG')",3,467170.16,725932.62
"('HR', 'Analyst', 'Medical Officer', 'Doctorate')",2,1214097.35,1452035.41
"('HR', 'Analyst', 'Medical Officer', 'Grad')",1,230626.63,230626.63
"('HR', 'Analyst', 'Medical Officer', 'PG')",1,13911.9,13911.9
"('HR', 'Analyst', 'Medical Officer', 'Under Grad')",1,1020366.07,1020366.07
"('HR', 'Analyst', 'Network Engineer', 'Grad')",1,32858.2,32858.2
"('HR', 'Analyst', 'Network Engineer', 'Under Grad')",1,394494.6,394494.6
"('HR', 'Analyst', 'Others', 'Doctorate')",3,348686.75,456033.72
"('HR', 'Analyst', 'Others', 'Grad')",3,600898.55,734966.51
"('HR', 'Analyst', 'Others', 'PG')",2,20202.8,20258.56
"('HR', 'Analyst', 'Product Manager', 'Grad')",1,276743.32,276743.32
"('HR', 'Analyst', 'Product Manager', 'PG')",3,562346.61,700008.68
"('HR', 'Analyst', 'Product Manager', 'Under Grad')",1,9192.0,9192.0
"('HR', 'Analyst', 'Research Analyst', 'Doctorate')",2,21932.37,23051.59
"('HR', 'Analyst', 'Research Analyst', 'Grad')",3,335264.74,559855.13
"('HR', 'Analyst', 'Research Analyst', 'PG')",3,1106484.97,1388357.89
"('HR', 'Analyst', 'Research Analyst', 'Under Grad')",2,70747.27,93987.5
"('HR', 'Analyst', 'Research Scientist', 'PG')",2,1095229.03,1132287.05
"('HR', 'Analyst', 'Research Scientist', 'Under Grad')",2,241223.51,319533.84
"('HR', 'Analyst', 'Software Developer', 'Doctorate')",2,1744095.63,1745023.82
"('HR', 'Analyst', 'Software Developer', 'PG')",1,948142.13,948142.13
"('HR', 'Analyst', 'Sr.Manager', 'Doctorate')",3,954513.01,1426492.61
"('HR', 'Analyst', 'Sr.Manager', 'PG')",2,447420.26,522616.52
"('HR', 'Analyst', 'Sr.Manager', 'Under Grad')",4,770871.2,890224.08
"('HR', 'Analyst', 'Web Designer', 'Doctorate')",1,73637.82,73637.82
"('HR', 'Analyst', 'Web Designer', 'PG')",3,819049.71,1038030.63
"('HR', 'Analyst', 'Web Designer', 'Under Grad')",1,574836.82,574836.82
"('HR', 'Associate', 'Assistant Manager', 'Grad')",3,1090826.67,1090914.79
"('HR', 'Associate', 'Assistant Manager', 'PG')",2,814789.34,848588.72
"('HR', 'Associate', 'Consultant', 'Doctorate')",4,256104.04,340393.35
"('HR', 'Associate', 'Consultant', 'Grad')",2,1029587.21,1032768.1
"('HR', 'Associate', 'Consultant', 'PG')",3,538673.05,539020.56
"('HR', 'Associate', 'Data Analyst', 'Doctorate')",1,917022.93,917022.93
"('HR', 'Associate', 'Data Analyst', 'PG')",2,392728.43,406028.76
"('HR', 'Associate', 'Data Analyst', 'Under Grad')",2,1146585.43,1148659.09
"('HR', 'Associate', 'Director', 'Doctorate')",2,1050979.85,1050983.11
"('HR', 'Associate', 'Director', 'Grad')",1,1078857.35,1078857.35
"('HR', 'Associate', 'Director', 'PG')",1,1021881.35,1021881.35
"('HR', 'Associate', 'HR', 'Doctorate')",2,537932.76,738951.16
"('HR', 'Associate', 'HR', 'Grad')",4,996576.92,998319.79
"('HR', 'Associate', 'HR', 'PG')",2,791290.92,814373.21
"('HR', 'Associate', 'Manager', 'Doctorate')",1,19552.9,19552.9
"('HR', 'Associate', 'Manager', 'Grad')",1,1230123.67,1230123.67
"('HR', 'Associate', 'Manager', 'PG')",1,449708.67,449708.67
"('HR', 'Associate', 'Manager', 'Under Grad')",2,824386.67,921463.31
"('HR', 'Associate', 'Marketing Manager', 'Doctorate')",1,185663.2,185663.2
"('HR', 'Associate', 'Marketing Manager', 'Grad')",1,441602.2,441602.2
"('HR', 'Associate', 'Marketing Manager', 'Under Grad')",3,1154249.53,1159818.72
"('HR', 'Associate', 'Medical Officer', 'Doctorate')",1,10165.0,10165.0
"('HR', 'Associate', 'Medical Officer', 'Grad')",2,904742.07,909936.95
"('HR', 'Associate', 'Medical Officer', 'Under Grad')",2,881346.57,888202.82
"('HR', 'Associate', 'Network Engineer', 'Doctorate')",1,816686.6,816686.6
"('HR', 'Associate', 'Network Engineer', 'Grad')",2,1044949.6,1045498.63
"('HR', 'Associate', 'Network Engineer', 'PG')",3,284044.4,401271.32
"('HR', 'Associate', 'Others', 'Grad')",2,1150015.72,1156429.7
"('HR', 'Associate', 'Others', 'PG')",1,1230370.22,1230370.22
"('HR', 'Associate', 'Others', 'Under Grad')",2,1194741.22,1194935.63
"('HR', 'Associate', 'Product Manager', 'Doctorate')",1,182244.18,182244.18
"('HR', 'Associate', 'Product Manager', 'Grad')",3,1051238.18,1059242.89
"('HR', 'Associate', 'Product Manager', 'PG')",1,1083.2,1083.2
"('HR', 'Associate', 'Product Manager', 'Under Grad')",1,1006511.18,1006511.18
"('HR', 'Associate', 'Research Analyst', 'Doctorate')",1,56850.5,56850.5
"('HR', 'Associate', 'Research Analyst', 'Grad')",1,1151483.93,1151483.93
"('HR', 'Associate', 'Research Analyst', 'PG')",4,753384.43,765955.23
"('HR', 'Associate', 'Research Analyst', 'Under Grad')",1,1073327.93,1073327.93
"('HR', 'Associate', 'Scientist', 'PG')",1,26749.0,26749.0
"('HR', 'Associate', 'Software Developer', 'Doctorate')",1,74451.4,74451.4
"('HR', 'Associate', 'Sr.Manager', 'Grad')",3,1079873.4,1081026.06
"('HR', 'Associate', 'Sr.Manager', 'PG')",2,687000.4,688043.16
"('HR', 'Associate', 'Web Designer', 'Doctorate')",1,1147460.32,1147460.32
"('HR', 'Associate', 'Web Designer', 'Grad')",2,1145269.32,1145384.93
"('HR', 'Associate', 'Web Designer', 'Under Grad')",2,1191115.32,1192025.84
"('HR', 'Bio statistician', 'Assistant Manager', 'Grad')",2,34213.06,37661.26
"('HR', 'Bio statistician', 'Assistant Manager', 'PG')",1,383745.34,383745.34
"('HR', 'Bio statistician', 'Assistant Manager', 'Under Grad')",3,736778.63,902880.96
"('HR', 'Bio statistician', 'CA', 'Grad')",1,31226.5,31226.5
"('HR', 'Bio statistician', 'CA', 'PG')",1,741.0,741.0
"('HR', 'Bio statistician', 'CA', 'Under Grad')",1,1041023.0,1041023.0
"('HR', 'Bio statistician', 'Consultant', 'Doctorate')",4,355994.74,681212.51
"('HR', 'Bio statistician', 'Consultant', 'Grad')",2,516058.26,719080.08
"('HR', 'Bio statistician', 'Consultant', 'PG')",6,605477.91,780832.55
"('HR', 'Bio statistician', 'Consultant', 'Under Grad')",2,213307.63,299083.63
"('HR', 'Bio statistician', 'Data Analyst', 'Doctorate')",1,489618.09,489618.09
"('HR', 'Bio statistician', 'Data Analyst', 'Grad')",2,7628.35,8026.89
"('HR', 'Bio statistician', 'Data Analyst', 'Under Grad')",1,281855.09,281855.09
"('HR', 'Bio statistician', 'Director', 'Doctorate')",1,12764.2,12764.2
"('HR', 'Bio statistician', 'Director', 'Grad')",1,16023.0,16023.0
"('HR', 'Bio statistician', 'Director', 'PG')",3,321314.14,471191.38
"('HR', 'Bio statistician', 'Director', 'Under Grad')",1,7729.8,7729.8
"('HR', 'Bio statistician', 'HR', 'Doctorate')",1,76540.5,76540.5
"('HR', 'Bio statistician', 'HR', 'Grad')",1,16359.5,16359.5
"('HR', 'Bio statistician', 'HR', 'PG')",2,812516.92,863314.38
"('HR', 'Bio statistician', 'HR', 'Under Grad')",1,14573.0,14573.0
"('HR', 'Bio statistician', 'Manager', 'Doctorate')",7,411012.51,637819.48
"('HR', 'Bio statistician', 'Manager', 'Grad')",3,787674.89,907555.65
"('HR', 'Bio statistician', 'Manager', 'PG')",2,880979.0,881765.3
"('HR', 'Bio statistician', 'Manager', 'Under Grad')",2,429768.94,597153.77
"('HR', 'Bio statistician', 'Marketing Manager', 'Doctorate')",1,1838112.79,1838112.79
"('HR', 'Bio statistician', 'Marketing Manager', 'Grad')",2,180285.99,245737.59
"('HR', 'Bio statistician', 'Marketing Manager', 'PG')",4,643650.14,696575.45
"('HR', 'Bio statistician', 'Marketing Manager', 'Under Grad')",3,1163577.53,1166214.19
"('HR', 'Bio statistician', 'Medical Officer', 'Doctorate')",3,1040460.3,1558200.96
"('HR', 'Bio statistician', 'Medical Officer', 'Grad')",1,210520.63,210520.63
"('HR', 'Bio statistician', 'Medical Officer', 'PG')",1,7120.0,7120.0
"('HR', 'Bio statistician', 'Medical Officer', 'Under Grad')",1,55057.07,55057.07
"('HR', 'Bio statistician', 'Network Engineer', 'Doctorate')",2,993529.21,1286118.51
"('HR', 'Bio statistician', 'Network Engineer', 'Grad')",2,975358.1,975368.93
"('HR', 'Bio statistician', 'Network Engineer', 'Under Grad')",1,12110.2,12110.2
"('HR', 'Bio statistician', 'Others', 'PG')",3,627301.65,801152.36
"('HR', 'Bio statistician', 'Others', 'Under Grad')",2,37152.2,38048.31
"('HR', 'Bio statistician', 'Product Manager', 'Doctorate')",4,819208.51,1213336.75
"('HR', 'Bio statistician', 'Product Manager', 'Grad')",2,87645.75,98098.81
"('HR', 'Bio statistician', 'Product Manager', 'PG')",1,179493.32,179493.32
"('HR', 'Bio statistician', 'Product Manager', 'Under Grad')",3,259336.5,377105.98
"('HR', 'Bio statistician', 'Research Analyst', 'Doctorate')",6,445151.98,738719.2
"('HR', 'Bio statistician', 'Research Analyst', 'Grad')",3,76228.26,107983.5
"('HR', 'Bio statistician', 'Research Analyst', 'PG')",2,1295551.71,1303079.79
"('HR', 'Bio statistician', 'Research Analyst', 'Under Grad')",1,1183523.93,1183523.93
"('HR', 'Bio statistician', 'Research Scientist', 'Doctorate')",1,204813.53,204813.53
"('HR', 'Bio statistician', 'Research Scientist', 'Grad')",2,486193.51,683478.49
"('HR', 'Bio statistician', 'Research Scientist', 'PG')",1,298197.03,298197.03
"('HR', 'Bio statistician', 'Research Scientist', 'Under Grad')",2,546639.03,719562.95
"('HR', 'Bio statistician', 'Software Developer', 'Doctorate')",1,39420.13,39420.13
"('HR', 'Bio statistician', 'Software Developer', 'Under Grad')",1,118009.89,118009.89
"('HR', 'Bio statistician', 'Sr.Manager', 'Doctorate')",1,114377.13,114377.13
"('HR', 'Bio statistician', 'Sr.Manager', 'Grad')",1,258973.13,258973.13
"('HR', 'Bio statistician', 'Sr.Manager', 'PG')",2,116632.16,164277.2
"('HR', 'Bio statistician', 'Sr.Manager', 'Under Grad')",2,675568.26,718581.42
"('HR', 'Bio statistician', 'Web Designer', 'Doctorate')",2,225145.66,313635.71
"('HR', 'Bio statistician', 'Web Designer', 'PG')",2,426030.06,583748.81
"('HR', 'Bio statistician', 'Web Designer', 'Under Grad')",1,923408.32,923408.32
"('HR', 'Business Analyst', 'Assistant Manager', 'Doctorate')",2,1051597.91,1241562.18
"('HR', 'Business Analyst', 'Assistant Manager', 'Grad')",3,471048.96,724617.31
"('HR', 'Business Analyst', 'Assistant Manager', 'PG')",5,502069.48,607651.63
"('HR', 'Business Analyst', 'Assistant Manager', 'Under Grad')",9,400401.12,595143.83
"('HR', 'Business Analyst', 'CA', 'Grad')",1,390094.58,390094.58
"('HR', 'Business Analyst', 'CA', 'PG')",1,1079330.58,1079330.58
"('HR', 'Business Analyst', 'Consultant', 'Grad')",2,663287.49,757420.28
"('HR', 'Business Analyst', 'Consultant', 'PG')",1,849106.27,849106.27
"('HR', 'Business Analyst', 'Data Analyst', 'PG')",2,1148699.51,1262611.49
"('HR', 'Business Analyst', 'Data Analyst', 'Under Grad')",1,24714.2,24714.2
"('HR', 'Business Analyst', 'Director', 'Doctorate')",1,978650.27,978650.27
"('HR', 'Business Analyst', 'Director', 'Grad')",1,248897.35,248897.35
"('HR', 'Business Analyst', 'Director', 'PG')",1,1459653.35,1459653.35
"('HR', 'Business Analyst', 'Director', 'Under Grad')",2,180176.54,244677.31
"('HR', 'Business Analyst', 'HR', 'Doctorate')",3,258629.11,392652.39
"('HR', 'Business Analyst', 'HR', 'Grad')",2,564891.46,795695.91
"('HR', 'Business Analyst', 'HR', 'PG')",3,219875.81,285357.54
"('HR', 'Business Analyst', 'HR', 'Under Grad')",3,795878.45,961445.34
"('HR', 'Business Analyst', 'Manager', 'Doctorate')",4,400539.18,727281.54
"('HR', 'Business Analyst', 'Manager', 'Under Grad')",3,204484.07,326098.52
"('HR', 'Business Analyst', 'Marketing Manager', 'Doctorate')",4,404531.25,779950.95
"('HR', 'Business Analyst', 'Marketing Manager', 'Grad')",5,549525.56,679817.47
"('HR', 'Business Analyst', 'Marketing Manager', 'PG')",2,1350366.49,1414064.8
"('HR', 'Business Analyst', 'Marketing Manager', 'Under Grad')",3,161181.2,229912.0
"('HR', 'Business Analyst', 'Medical Officer', 'Grad')",1,238914.07,238914.07
"('HR', 'Business Analyst', 'Medical Officer', 'Under Grad')",1,787029.07,787029.07
"('HR', 'Business Analyst', 'Network Engineer', 'Doctorate')",1,812447.6,812447.6
"('HR', 'Business Analyst', 'Network Engineer', 'Grad')",1,449737.21,449737.21
"('HR', 'Business Analyst', 'Network Engineer', 'PG')",2,66902.61,83574.68
"('HR', 'Business Analyst', 'Network Engineer', 'Under Grad')",2,307818.55,415586.56
"('HR', 'Business Analyst', 'Others', 'Doctorate')",8,1025519.16,1438890.27
"('HR', 'Business Analyst', 'Others', 'PG')",4,349148.37,511525.92
"('HR', 'Business Analyst', 'Others', 'Under Grad')",4,318984.65,600775.27
"('HR', 'Business Analyst', 'Product Manager', 'Doctorate')",2,29635.9,29812.06
"('HR', 'Business Analyst', 'Product Manager', 'Grad')",6,69770.87,121234.09
"('HR', 'Business Analyst', 'Product Manager', 'PG')",5,676395.87,876277.15
"('HR', 'Business Analyst', 'Product Manager', 'Under Grad')",3,632945.59,770940.29
"('HR', 'Business Analyst', 'Research Analyst', 'Doctorate')",1,1849718.48,1849718.48
"('HR', 'Business Analyst', 'Research Analyst', 'Grad')",2,137495.24,192340.11
"('HR', 'Business Analyst', 'Research Analyst', 'PG')",2,909358.98,980045.18
"('HR', 'Business Analyst', 'Research Analyst', 'Under Grad')",4,542098.4,697854.43
"('HR', 'Business Analyst', 'Research Scientist', 'Doctorate')",1,5183.2,5183.2
"('HR', 'Business Analyst', 'Research Scientist', 'Grad')",1,1565.8,1565.8
"('HR', 'Business Analyst', 'Research Scientist', 'PG')",3,186308.19,264237.88
"('HR', 'Business Analyst', 'Software Developer', 'Doctorate')",1,60155.8,60155.8
"('HR', 'Business Analyst', 'Software Developer', 'Grad')",2,101657.96,123913.33
"('HR', 'Business Analyst', 'Software Developer', 'Under Grad')",1,91787.13,91787.13
"('HR', 'Business Analyst', 'Sr.Manager', 'Doctorate')",1,590601.4,590601.4
"('HR', 'Business Analyst', 'Sr.Manager', 'Grad')",4,159861.36,232396.81
"('HR', 'Business Analyst', 'Sr.Manager', 'PG')",3,642865.22,654839.11
"('HR', 'Business Analyst', 'Sr.Manager', 'Under Grad')",3,199926.43,320456.94
"('HR', 'Business Analyst', 'Web Designer', 'Doctorate')",3,977656.55,1365419.42
"('HR', 'Business Analyst', 'Web Designer', 'Grad')",5,269111.76,335889.16
"('HR', 'Business Analyst', 'Web Designer', 'Under Grad')",2,332326.96,455578.97
"('HR', 'CEO', 'Assistant Manager', 'Doctorate')",1,796899.91,796899.91
"('HR', 'CEO', 'Assistant Manager', 'Grad')",2,38824.86,41517.07
"('HR', 'CEO', 'Assistant Manager', 'PG')",1,884319.91,884319.91
"('HR', 'CEO', 'Assistant Manager', 'Under Grad')",2,134581.0,181899.77
"('HR', 'CEO', 'CA', 'Doctorate')",1,47906.2,47906.2
"('HR', 'CEO', 'CA', 'PG')",1,1279727.58,1279727.58
"('HR', 'CEO', 'Consultant', 'Doctorate')",2,516308.88,698790.32
"('HR', 'CEO', 'Consultant', 'Grad')",2,389603.27,391985.05
"('HR', 'CEO', 'Consultant', 'PG')",1,7444.0,7444.0
"('HR', 'CEO', 'Consultant', 'Under Grad')",1,157311.27,157311.27
"('HR', 'CEO', 'Data Analyst', 'Doctorate')",2,1386527.09,1576148.82
"('HR', 'CEO', 'Data Analyst', 'Grad')",3,161689.89,196798.07
"('HR', 'CEO', 'Data Analyst', 'PG')",2,183290.94,255693.22
"('HR', 'CEO', 'Director', 'Doctorate')",1,1800493.27,1800493.27
"('HR', 'CEO', 'Director', 'PG')",2,371508.77,474010.24
"('HR', 'CEO', 'HR', 'Doctorate')",2,1389705.0,1423768.69
"('HR', 'CEO', 'HR', 'Grad')",1,114820.92,114820.92
"('HR', 'CEO', 'HR', 'PG')",3,237282.4,294629.87
"('HR', 'CEO', 'HR', 'Under Grad')",1,452742.92,452742.92
"('HR', 'CEO', 'Manager', 'Doctorate')",2,1038437.41,1446844.13
"('HR', 'CEO', 'Manager', 'Grad')",3,142816.04,196610.34
"('HR', 'CEO', 'Manager', 'Under Grad')",4,7059.88,8793.97
"('HR', 'CEO', 'Marketing Manager', 'Doctorate')",1,687062.79,687062.79
"('HR', 'CEO', 'Marketing Manager', 'Grad')",2,352106.3,486069.07
"('HR', 'CEO', 'Marketing Manager', 'Under Grad')",1,39916.8,39916.8
"('HR', 'CEO', 'Medical Officer', 'Doctorate')",1,903406.63,903406.63
"('HR', 'CEO', 'Medical Officer', 'Grad')",1,595012.63,595012.63
"('HR', 'CEO', 'Medical Officer', 'Under Grad')",1,704730.63,704730.63
"('HR', 'CEO', 'Network Engineer', 'PG')",1,606278.21,606278.21
"('HR', 'CEO', 'Network Engineer', 'Under Grad')",1,6600.5,6600.5
"('HR', 'CEO', 'Others', 'Doctorate')",3,725926.77,879845.67
"('HR', 'CEO', 'Others', 'Grad')",2,136911.18,181776.26
"('HR', 'CEO', 'Others', 'PG')",3,106222.19,165873.06
"('HR', 'CEO', 'Others', 'Under Grad')",2,510145.16,514278.32
"('HR', 'CEO', 'Product Manager', 'Grad')",4,138890.83,189250.14
"('HR', 'CEO', 'Research Analyst', 'Doctorate')",2,1530163.98,1611218.01
"('HR', 'CEO', 'Research Analyst', 'Grad')",3,16783.5,17043.82
"('HR', 'CEO', 'Research Analyst', 'PG')",2,469628.64,646128.35
"('HR', 'CEO', 'Research Analyst', 'Under Grad')",3,17012.84,25002.23
"('HR', 'CEO', 'Research Scientist', 'Doctorate')",1,526260.53,526260.53
"('HR', 'CEO', 'Research Scientist', 'Grad')",2,11324.6,11853.01
"('HR', 'CEO', 'Software Developer', 'Doctorate')",1,1459603.13,1459603.13
"('HR', 'CEO', 'Software Developer', 'Grad')",2,110306.46,143559.06
"('HR', 'CEO', 'Software Developer', 'PG')",1,50188.5,50188.5
"('HR', 'CEO', 'Sr.Manager', 'Grad')",1,21043.5,21043.5
"('HR', 'CEO', 'Sr.Manager', 'PG')",2,463726.46,639171.93
"('HR', 'CEO', 'Sr.Manager', 'Under Grad')",1,22747.0,22747.0
"('HR', 'CEO', 'Web Designer', 'Doctorate')",2,1282262.32,1286583.49
"('HR', 'CEO', 'Web Designer', 'Grad')",1,350999.82,350999.82
"('HR', 'CEO', 'Web Designer', 'PG')",1,43552.32,43552.32
"('HR', 'CEO', 'Web Designer', 'Under Grad')",1,22791.4,22791.4
"('HR', 'Consultant', 'Assistant Manager', 'Doctorate')",2,110419.27,154467.86
"('HR', 'Consultant', 'Assistant Manager', 'Grad')",3,113012.84,190845.65
"('HR', 'Consultant', 'Assistant Manager', 'PG')",7,356127.3,487920.47
"('HR', 'Consultant', 'Assistant Manager', 'Under Grad')",4,446540.3,629319.58
"('HR', 'Consultant', 'CA', 'Doctorate')",1,245023.58,245023.58
"('HR', 'Consultant', 'CA', 'Grad')",1,19459.5,19459.5
"('HR', 'Consultant', 'Consultant', 'Doctorate')",2,21538.61,24806.29
"('HR', 'Consultant', 'Consultant', 'Grad')",1,379451.27,379451.27
"('HR', 'Consultant', 'Consultant', 'PG')",2,107889.71,122001.66
"('HR', 'Consultant', 'Data Analyst', 'Doctorate')",2,900461.64,1253235.29
"('HR', 'Consultant', 'Data Analyst', 'Grad')",2,698714.51,844525.65
